CID,SMILES,Hf /kJmol-1,Hf_spread /kJmol-1,density / gcm-3,det_velocity / kms-1,det_pressure / Gpa
C857,CC1CCC(C2CCCCC2)CC1,,,,,
C6518,C1CCC2CCC(CCC)CC2C1,,,,,
C4752,C1(O)CCCCC1,,,,,
C442,CC(C)C1C(O)CC([N+](=O)[O-])CC1,,,,,
C1507,CC1CC(C2CC(CC=C)C(C)CC2)CCC1,,,,,
C6520,CCC(=O)N,,,,,
C4342,CCCC(=O)C,,,,,
C3913,C1CCCCC1O,,,,,
C5045,C1CCC(C(=O)C)CC1,,,,,
C921,C1CCCC(O)C1,,,,,
C398,C1CCC(O)CC1,,,,,
C6314,CC1(C(=O)C)CCCCC1,,,,,
C5339,C1CCCCC1C1CCCCC1,,,,,
C2333,C1CC(C(=O)C)CCC1,,,,,
C723,C1CCC(C2CCCCC2)CC1,,,,,
C3260,CCC(C1C(O)CCCC1)[N+](=O)[O-],,,,,
C2255,C1CCC2CCCCC2C1O[N+](=O)[O-],,,,,
C3119,C1CCCC(C(=O)C)C1,,,,,
C2274,C1CCCCC1C(=O)C,,,,,
C2358,C1CCC2CCCCC2C1c1ccccc1O,,,,,
C3775,C1C(C2CC(C=C)CCC2)CC2CCCCC2C1,,,,,
C4361,CC(C)C(=O)[N+](=O)[O-],,,,,
C6273,C1CCCC(C2CCCC3C2([N+](=O)[O-])CCCC3)C1,,,,,
C3783,CCCC1CCC2C(CC=C)CCCC2C1,,,,,
C3766,C(C)O,,,,,
C1735,CCO,,,,,
C1961,CCCC=O,,,,,
C3004,CCC(=O)[N+](=O)[O-],,,,,
C4900,CCC(=O)[N+](=O)[O-],,,,,
C6108,C1CCC2CCCCC2(O[N+](=O)[O-])C1,,,,,
C4341,C1CCCCC1C(=O)N,,,,,
C4890,C1CCC2CCCCC2C1C,,,,,
C3704,C1CCC2CCCC(C)C2C1,,,,,
C2831,CC1C(C(=O)N)CCCC1,,,,,
C1722,C(C1CCCCC1)C(=O)N,,,,,
C4966,C1CCC2CCCC(C)C2C1,,,,,
C2816,CN[N+](=O)[O-],,,,,
C371,CN[N+](=O)[O-],,,,,
C2591,C1CCC2(N)CCCCC2C1,,,,,
C3479,CO,,,,,
C5882,CO,,,,,
C3529,C(C)(O)c1ccccc1O,,,,,
C3987,CC1CCCCC1O,,,,,
C1540,C1C(CCC)(N)CCC(CC)C1,,,,,
C1838,CC1CCC(O)CC1,,,,,
C4426,C1C(C)CCCC1O,,,,,
C2108,C(C#C)C(=O)CO,,,,,
C6293,C(CC)CCC,,,,,
C1215,C(CC)CCC,,,,,
C428,C(C)CC(C)c1c(O)cccc1,,,,,
C1554,C(C[N+](=O)[O-])O[N+](=O)[O-],,,,,
C6491,C1CCCC(CCC)C1,,,,,
C178,C1CCCCC1CCC,,,,,
C452,C1(CCC)CCCCC1,,,,,
C4580,C1C(CCC)CCCC1,,,,,
C020,C(C)C1CCCCC1,,,,,
C3593,C=CC1C(CCC)CCCC1O,,,,,
C5065,C1CCCCC1CCC,,,,,
C2516,CC(C)C1CCCC2C1CC(N=O)CC2,,,,,
C1643,CCO[N+](=O)[O-],,,,,
C6133,C1CCCC(CC=C)C1O,,,,,
C3833,CCCCC,,,,,
C2973,CC(=C)O,,,,,
C5100,C(C)CCC,,,,,
C1123,C1CCC(CC)CC1,,,,,
C3712,CC1CCCCC1C,,,,,
C3852,C1(C=CC)CCCCC1O,,,,,
C5738,C(CC)c1cc(O)ccc1,,,,,
C2645,C1CCC2(C=C)CCCCC2C1,,,,,
C1645,C(CC)c1cc(O)ccc1,,,,,
C4227,C1CCC2CCCCC2(Cc2ccccc2)C1,,,,,
C6465,CC(=C)O,,,,,
C3434,C1CCC2CCCCC2C1c1ccccc1C,,,,,
C746,C(C)c1c(O)cccc1,,,,,
C1438,CCc1c(O)cccc1,,,,,
C6380,CCc1ccccc1O,,,,,
C3104,CC(CC1CCCCC1)CC,,,,,
C014,C(C=C)C(=O)N,,,,,
C5351,C(CC)N,,,,,
