CID,SMILES
TNT,Cc1c([N+](=O)[O-])cc([N+](=O)[O-])c([N+](=O)[O-])c1
RDX,C1N(CN(CN1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
