MOL,exp e /kJ mol,mace e /eV,M062X H /Eh,wB97X-V H /Eh,CAM-B3LYP H /Eh,wB97XD-D3BJ /Eh,MN15 H /Eh,B2PLYP H /Eh,SMILES,REF
t-Butyl_nitrite,-172.0,-9879.2716947677,-362.79852966,-362.84679656,-362.79327224,-363.09624756,-362.53747583,-362.71546336,CC(C)(C)ON=O,NIST
neopentane,-167.14,-5380.4868336302,-197.56654035,-197.61730961,-197.54988892,-197.80343754,-197.40319212,-197.50485371,CC(C)(C)C,ATcT
n-hexane,-167.1,-6449.9183946222,-236.83601838,-236.89629588,-236.81616611,-237.11749324,-236.63900756,-236.76264759,CCCCCC,NIST
Methacrylamide,-157.7,-7801.3983342962,-286.4862089,-286.51840806,-286.47245468,-286.72508638,-286.27039558,-286.41265825,CC(=C)C(N)=O,NIST
ethyl_nitrate,-154.808,-9786.7720794733,-359.41508588,-359.44728068,-359.42655838,-359.66249179,-359.17430635,-359.34839516,CCO[N+](=O)[O-],Byrd 2006
Isobutyl_nitrite,-151.0,-9879.0691039327,-362.79074216,-362.83884338,-362.78639694,-363.08849736,-362.52901467,-362.70832216,CC(C)CON=O,NIST
n-pentane,-146.05,-5380.2992889189,-197.55948001,-197.61100518,-197.54574148,-197.79668831,-197.39503643,-197.49926785,CCCCC,ATcT
n-Butyl_nitrite,-146.0,-9879.0119632395,-362.78751838,-362.83621775,-362.78454779,-363.0858751,-362.52571484,-362.706761,CCCCON=O,NIST
Diisopropylamine,-136.3,-7956.6342562676,-292.16904345,-292.23289006,-292.14607158,-292.48894044,-291.9324694,-292.07931984,CC(C)NC(C)C,NIST
iso-Propyl_nitrite,-133.0,-8809.4099820184,-323.51575165,-323.55409626,-323.51564895,-323.76818781,-323.28688872,-323.44610932,CC(C)ON=O,NIST
2-nitrophenol,-132.3,-13938.125898008,-511.86020337,-511.89707312,-511.83805298,-512.22253886,-511.49302688,-511.74435933,Oc1ccccc1[N+]([O-])=O,NIST
4_5-dihydro-2-methyl-oxazole,-130.5,-7801.0145991187,-286.47375347,-286.50947346,-286.45862242,-286.71316906,-286.25959313,-286.39787604,CC1=NCCO1,NIST
o-cresol,-130.5,-9439.2625635715,-346.62847678,-346.6676108,-346.59297537,-346.92874943,-346.35783643,-346.53007698,Cc1ccccc1O,NIST
p-cresol,-129.1,-9439.2482196572,-346.62669009,-346.66724283,-346.59205356,-346.92852211,-346.35549364,-346.52910288,Cc1ccc(O)cc1,NIST
n-butane,-125.55,-4310.6033804085,-158.28126214,-158.32304276,-158.27120762,-158.47342187,-158.14984753,-158.23336544,CCCC,NIST
methyl_nitrate,-122.173,-8716.9820059674,-320.1325711,-320.15537753,-320.14787695,-320.33550564,-319.92504185,-320.07855337,CO[N+](=O)[O-],ATcT
Diethylhydroxylamine,-121.77,-7863.8398490405,-288.77950016,-288.82554529,-288.77057115,-289.04661435,-288.56343972,-288.70190282,CCN(O)CC,NIST
2-methyl-2-propanamine,-120.9,-5817.5999392711,-213.62295952,-213.66857903,-213.6091105,-213.85454005,-213.45104273,-213.55969775,CC(C)(C)N,NIST
Propyl_nitrite,-119.0,-8809.2934610909,-323.51110947,-323.54942157,-323.51141001,-323.76361833,-323.28214159,-323.44142281,CCCON=O,NIST
isocyanic_acid,-118.91,-4592.5685931759,-168.66171803,-168.6668623,-168.65949129,-168.76710027,-168.54212325,-168.62832138,N=C=O,ATcT
4-nitrophenol,-114.7,-13938.0189884695,-511.85664278,-511.89292336,-511.83348094,-512.21885689,-511.48840835,-511.73971576,C1=CC(=CC=C1[N+](=O)[O-])O,ATcT
3-nitrophenol,-109.3,-13937.9405277818,-511.85385923,-511.89038776,-511.83047211,-512.21616968,-511.48561395,-511.73723277,C1=CC(=CC(=C1)O)[N+](=O)[O-],ATcT
formaldehyde,-109.223,-3117.002098052,-114.46822517,-114.47700275,-114.47122362,-114.54981349,-114.39012495,-114.44690404,C=O,ATcT
n-methy-1-butanamine,-108.3,-6886.6645240778,-252.87970978,-252.93462145,-252.86340701,-253.15556115,-252.67453364,-252.80376841,CCCCNC,NIST
Ethyl-nitrite,-108,-7739.6195284586,-284.23346695,-284.26256036,-284.23844182,-284.44146495,-284.03761684,-284.17669711,CCON=O,NIST
methylcyclopentane,-106.7,-6417.7653712023,-235.65705007,-235.71467175,-235.63302662,-235.92588658,-235.4624218,-235.58221493,C1CCC(C)C1,NIST
sec-Butylamine,-106.2,-5817.4100890495,-213.61664296,-213.66231707,-213.60380085,-213.84827648,-213.44421868,-213.55371922,CCC(C)N,NIST
propane,-105.00,-3240.9634488682,-119.00442063,-119.03709427,-118.99930299,-119.15205373,-118.90597372,-118.96994795,CCC,ATcT
cyclohexamine,-104.9,-7924.7578857874,-290.99950909,-291.06028557,-290.97187,-291.30805587,-290.76244724,-290.90875983,NC1CCCCC1,NIST
2-aminophenol,-104.4,-9876.4966307432,-362.68984281,-362.72298401,-362.65724888,-362.98409243,-362.4111001,-362.58959496,NC1=C(O)C=CC=C1,NIST
1_1-dinitroethane,-101.77,-13307.8862869439,-488.7286082,-488.76675799,-488.74146033,-489.04531544,-488.40196386,-488.64388794,CC([N+](=O)[O-])[N+](=O)[O-],NIST
benzamide,-100.9,-10914.5121420673,-400.80375332,-400.84323676,-400.76639982,-401.1322437,-400.49199111,-400.69559982,NC(=O)C1=CC=CC=C1,NIST
n-ethyl-ethanamine,-99.8,-5817.1227051911,-213.60691683,-213.65255689,-213.59570011,-213.83784549,-213.43448387,-213.54445928,CCNCC,NIST
