MOL,exp e /kJ mol,mace e /eV,M062X H /Eh,wB97X-V H /Eh,CAM-B3LYP H /Eh,wB97XD-D3BJ /Eh,MN15 H /Eh,B2PLYP H /Eh,SMILES,REF
2-Aminopyridine,118.1,-8265.5358340515,-303.52457131,-303.55631571,-303.49359127,-303.78041223,-303.28180513,-303.4391757,NC1=CC=CC=N1,NIST
2_3-dimethylpyrazine,126.0,-9334.9044500415,-342.79102676,-342.83357027,-342.75498153,-343.09282308,-342.51488174,-342.69364336,Cc1nccnc1C,NIST
1H-imidazole,128.0,-6157.9953533175,-226.13600705,-226.15657659,-226.11472173,-226.31608888,-225.95857682,-226.07215148,N1C=CN=C1,NIST
imidazole,131.5,-6157.9953679558,-226.13589185,-226.15659352,-226.11470631,-226.31609045,-225.95860052,-226.07216877,c1cnc[nH]1,https://doi.org/10.1016/j.tca.2020.178756
Ethyl_isocyanide,132.6,-4682.3203919527,-171.94133295,-171.96243752,-171.92432454,-172.0963009,-171.79990925,-171.89098167,CC[N+]#[C-],NIST
cyclopentadiene,134.76,-5282.7121695222,-193.98265238,-194.01397458,-193.95716668,-194.17461097,-193.82321995,-193.9230055,C1C=CC=C1,NIST
3-Aminopyridine,144.2,-8265.240283549,-303.51409214,-303.54508811,-303.48245659,-303.76932516,-303.27100841,-303.42868392,Nc1cccnc1,NIST
2_6-Dimethylbenzonitrile,146.2,-10972.8561843984,-402.93422746,-402.98293018,-402.87627649,-403.29837723,-402.5988895,-402.81608751,Cc1cccc(C)c1C#N,NIST
napthalene,147.68,-10503.6620274956,-385.70321359,-385.75012207,-385.64115221,-386.05704504,-385.38131768,-385.58665324,c1ccc2ccccc2c1,ATcT
phenylethene,148.56,-8427.8691364234,-309.47634912,-309.51770818,-309.43127169,-309.76986736,-309.21745023,-309.38192901,c1ccccc1C=C,ATcT
3-Butenenitrile,157.7,-5719.9718235734,-210.043304,-210.06665135,-210.01982639,-210.22815724,-209.8679129,-209.98494073,C=CCC#N,NIST
methyl_isocyanide,163.5,-3612.5635775065,-132.66143177,-132.67293668,-132.64819643,-132.77130133,-132.5532674,-132.62341104,C[N+]#[C-],NIST
fulminic_acid,169.29,-4589.555516292,-168.54936798,-168.55431805,-168.54791437,-168.65413868,-168.43171209,-168.5220783,[O-][N+]#C,ATcT
dioxohydrazine,171.18,-7073.653816587,-259.7556311,-259.76882417,-259.76468612,-259.90567511,-259.58220004,-259.71745066,O=NN=O,ATcT
biphenyl,178.8,-12610.730283741,-463.07651562,-463.1332822,-463.00057832,-463.50330927,-462.68859374,-462.93343115,c1ccccc1c2ccccc2,ATcT
2-Propenenitrile,179.7,-4650.2869430426,-170.76569824,-170.77962328,-170.74663171,-170.90549531,-170.62392002,-170.72110064,C=CC#N,NIST
1H-pyrazole,181.0,-6157.4819291523,-226.11713532,-226.13995172,-226.09731804,-226.29975844,-225.94044616,-226.05524546,N1C=CC=N1,NIST
Cyclopropanecarbonitrile,182.7,-5719.8235569289,-210.04192292,-210.06492257,-210.01325745,-210.22530963,-209.8664426,-209.97744692,N#CC1CC1,NIST
propyne,185.56,-3174.8483149661,-116.58222192,-116.59662987,-116.56728542,-116.69458402,-116.48384689,-116.54765415,CC#C,ATcT
8-Quinolinamine,187.6,-12447.8799465823,-457.10630869,-457.1530306,-457.04549003,-457.49474362,-456.73563772,-456.97410769,Nc1cccc2cccnc12,NIST
RDX,192.0,-24432.6189877933,-897.26680429,-897.33331499,-897.27825028,-897.84313598,-896.66952825,-897.09174224,[O-][N+](=O)N1CN(CN(C1)[N+]([O-])=O)[N+]([O-])=O,NIST
1_2_4-triazole,192.7,-6594.903055646,-242.18514865,-242.20432504,-242.16752089,-242.3634703,-241.99885043,-242.1213219,N1C=NC=N1,NIST
1_4-dinitroso-piperazine,194.0,-14333.6440168668,-526.38078439,-526.43474673,-526.3659574,-526.77419284,-525.99835799,-526.25750184,O=NN1CCN(CC1)N=O,NIST
1_3-diazine,195.8,-7195.3301620343,-264.22685595,-264.25111635,-264.19969855,-264.43924651,-264.01540965,-264.15409572,c1cncnc1,NIST
Pyrazine,196.1,-7195.1349532155,-264.21977733,-264.24363014,-264.19280705,-264.43181645,-264.00849991,-264.14761411,c1cnccn1,NIST
nitrosobenzene,200.0,-9841.8980864731,-361.41750378,-361.45170673,-361.38532783,-361.70462664,-361.13926384,-361.32447103,C1=CC=C(C=C1)N=O,ATcT
Quinoline,200.52,-10940.713121295,-401.75725689,-401.80086885,-401.69869419,-402.10709788,-401.42670619,-401.63970197,c1ccc2ncccc2c1,NIST
phenyl_hydrazine,202.9,-9333.9932406443,-342.75852222,-342.79893324,-342.72280434,-343.05878393,-342.48456625,-342.65948395,NNc1ccccc1,NIST
Isoquinoline,204.61,-10940.6676948678,-401.75572495,-401.79917944,-401.69688593,-402.10565044,-401.42519133,-401.63779456,c1ccc2cnccc2c1,NIST
6-Quinolinamine,206.1,-12447.7561220966,-457.10141788,-457.14859933,-457.04102235,-457.49050255,-456.73041093,-456.96953194,Nc1ccc2ncccc2c1,NIST
3-Quinolinamine,208.4,-12447.7360381939,-457.10024158,-457.14742766,-457.03994585,-457.48946618,-456.72898367,-456.96856742,Nc1cnc2ccccc2c1,NIST
Butanedinitrile,209.7,-7194.9949284854,-264.2124132,-264.233234,-264.18117656,-264.42205483,-263.9912665,-264.14183116,N#CCCC#N,NIST
5-Quinolinamine,210.6,-12447.7163424792,-457.09975741,-457.14672833,-457.03865704,-457.48876654,-456.72891932,-456.96732064,Nc1cccc2ncccc12,NIST
Benzonitrile,219.0,-8833.2112492885,-324.36660214,-324.39680087,-324.31948407,-324.64070318,-324.0963897,-324.27429613,N#Cc1ccccc1,NIST
1_3_5-triazine,225.87,-7632.5064883768,-280.28642549,-280.30726068,-280.261457,-280.49490734,-280.06553672,-280.21133762,C1=NC=NC=N1,NIST
ethyne,228.32,-2104.9610886783,-77.29554965,-77.2998903,-77.28270204,-77.36340974,-77.23017049,-77.27354609,C#C,ATcT
1_2_3-triazole,240,-6594.1580071472,-242.15678368,-242.17751869,-242.14014183,-242.33711898,-241.97090593,-242.09547331,c1cnn[nH]1,NIST
Quinoxaline,240.3,-11377.6720560213,-417.8079155,-417.84773938,-417.75248204,-418.15342494,-417.46901235,-417.6892292,c1ccc2nccnc2c1,NIST
Quinazoline,243.1,-11377.8187924072,-417.81400831,-417.85389267,-417.75800039,-418.15972901,-417.47408292,-417.6944052,c1ccc2ncncc2c1,NIST
1-butynylbenzene,248.6,-10534.0832261099,-386.82041007,-386.86962569,-386.76157833,-387.18370014,-386.49426243,-386.70165898,CCC#CC1=CC=CC=C1,NIST
1_5-dimethyl-2H-tetrazole,251.2,-9170.6790450208,-336.77143215,-336.81054897,-336.75068258,-337.03999372,-336.51069179,-336.68557479,CN1N=NC(C)=N1,NIST
Propanedinitrile,266.3,-6125.0803484401,-224.92585195,-224.93753245,-224.89943807,-225.09076825,-224.7388083,-224.86833813,N#CCC#N,NIST
1_5-dimethyl-1H-tetrazole,273.2,-9170.5693609602,-336.76725414,-336.80485417,-336.74518565,-337.03570659,-336.50617032,-336.68002454,CN1N=NN=C1C,NIST
3-Pyridinecarbonitrile,277.9,-9270.1449474823,-340.41667731,-340.44320352,-340.37239723,-340.68678387,-340.13747044,-340.32312578,N#Cc1cccnc1,NIST
Pyridazine,278.4,-7194.3353193677,-264.18960368,-264.21545147,-264.16351727,-264.40370985,-263.97886927,-264.11904173,c1ccnnc1,NIST
2-Pyridinecarbonitrile,280.7,-9270.0932339109,-340.41476445,-340.4415871,-340.37081442,-340.6849616,-340.13598831,-340.32151739,N#Cc1ccccn1,NIST
5-methyl-1H-Tetrazole,280.7,-8100.9851893299,-297.4923321,-297.5224009,-297.4755839,-297.71603928,-297.26444699,-297.41868079,CC1=NNN=N1,NIST
4-Pyridinecarbonitrile,283.5,-9270.1286548575,-340.41526016,-340.44176144,-340.37106677,-340.68540597,-340.13625149,-340.32203198,N#Cc1ccncc1,NIST
cyclopropene,283.85,-3173.9933272283,-116.54978454,-116.56491511,-116.53050482,-116.66248838,-116.45212116,-116.50871169,C1C=C1,NIST
5-Amino-2-methyl-2H-tetrazole,298.8,-9606.4579912963,-352.77576623,-352.80854398,-352.75807774,-353.03869918,-352.5081761,-352.68805214,CN1NC(=N)N=N1,NIST
ethanedinitrile,305.0,-5055.1472927484,-185.63458348,-185.63664237,-185.61286895,-185.75429413,-185.48310777,-185.5933271,N#CC#N,NIST
phenylacetylene,317.64,-8394.5541707678,-308.25516115,-308.28691628,-308.20497917,-308.53008316,-307.99672954,-308.16239399,c1ccccc1C#C,ATcT
tetrazole,320,-7031.0204416294,-258.20230154,-258.2212512,-258.18854479,-258.38060426,-258.00690464,-258.14038436,[nH]1nnnc1,NIST
1-methyl-1H-Tetrazole,322.9,-8100.6253474028,-297.47970469,-297.50767358,-297.46188076,-297.70211956,-297.2502875,-297.40541565,CN1C=NN=N1,NIST
5-aminotetrazole,323.80,-8538.1358098833,-313.54938362,-313.57298028,-313.53515164,-313.76792649,-313.31389659,-313.47284428,c1([nH]nnn1)N,NIST
Phthalazine,329.9,-11376.8702811619,-417.7772336,-417.81857191,-417.72213186,-418.12489117,-417.43796876,-417.65920275,c1ccc2cnncc2c1,NIST
Fumaronitrile,340.0,-7162.126701962,-263.00744456,-263.0196815,-262.97433683,-263.20041795,-262.78923952,-262.94064015,N#C\C=C\C#N,NIST
Propiolonitrile,354,-4616.7871948266,-169.53883576,-169.54213674,-169.51407366,-169.65923193,-169.39840273,-169.49664723,C#CC#N,NIST
ttt,394.5508,-18291.1961945094,-671.72344486,-671.77790655,-671.71193536,-672.17946285,-671.25090828,-671.57624452,C1N(CN(CN1N=O)N=O)N=O,ATcT
Hexahydro-1-3-5-trinitroso-1-3-5-triazine,395.0,-18291.2962931151,-671.72500415,-671.77999769,-671.71477656,-672.18149597,-671.2508546,-671.57908959,O=NN1CN(CN(C1)N=O)N=O,NIST
2-Butynedinitrile,533.46,-7128.5611843795,-261.77718324,-261.77836627,-261.73978956,-261.95024794,-261.56260401,-261.71631074,N#CC#CC#N,NIST
Tetracyanoethylene,705.0,-12185.1397088485,-447.46372051,-447.47395485,-447.40140749,-447.76503303,-447.09468342,-447.35510372,N#CC(C#N)=C(C#N)C#N,NIST
