MOL,exp e /kJ mol,mace e /eV,SMILES,REF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isocyanic_acid,-118.91,-4592.5685735244,N=C=O,ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fulminic_acid,169.29,-4589.5555291533,[O-][N+]#C,ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nitrosyl_hydride,106.99,-3552.3405951813,N=O,ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
methanol,-200.85,-3149.4853189898,CO,ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
formaldehyde,-109.223,-3117.0020911065,C=O,ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydrazine,97.64,-3044.6201888299,NN,ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ethane,-84.02,-2171.2983307439,CC,ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ethene,52.39,-2138.3341794111,C=C,ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ethyne,228.32,-2104.9611259479,C#C,ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
methane,-74.513,-1101.7394087555,C,ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rdx,191.627,-24432.7035523421,C1N(CN(CN1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tnt,24.058,-24095.9166116413,CC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ttt,394.5508,-18291.2222464230,C1N(CN(CN1N=O)N=O)N=O,ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p-nitroaniline,55.2287,-13396.8312736857,C1=CC(=CC=C1N)[N+](=O)[O-],ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p-tolualdehyde,-72.2,-10476.5958152559,Cc1ccc(C=O)cc1,ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o-tolualdehyde,-66.4,-10476.5443302339,Cc1ccccc1C=O,ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peroxy_nitrous_acid,-11.54,-9693.2602346282,O=N(=O)OO,ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phenylethene,148.56,-8427.8691265510,c1ccccc1C=C,ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phenylacetylene,317.64,-8394.5540778151,c1ccccc1C#C,ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phenol,-92.94,-8369.4922774055,c1ccccc1O,ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
propionic_acid,-453.67,-7305.8969790872,CCC(=O)O,ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urea,-234.55,-6132.4269681883,C(N)(N)=O,ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
propane,-105.00,-3240.9632544271,CCC,ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
propene,20.06,-3208.1252761837,CC=C,ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
propyne,185.56,-3174.8482844403,CC#C,ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water,-241.808,-2080.4340079183,O,ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
