MOL,exp e /kJ mol,mace e /eV,SMILES,REF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-nitrotoluene,30.9,-12959.5273188443,CC1=CC=C(C=C1)[N+]([O-])=O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-pyridinol,-40.8,-8806.557829134,OC1=CC=NC=C1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_5-Dihydro-3-nitro-isoxazole,39.0,-12297.9610687371,[O-][N+](=O)C1=NOCC1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_5-dihydro-2-methyl-oxazole,-130.5,-7801.0145991187,CC1=NCCO1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_5-furazandimethanol_dinitrate,11.0,-24535.081353603,O=N(=O)OCN1ONC=C1CON(=O)=O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Amino-2-methyl-2H-tetrazole,298.8,-9606.4579912963,CN1NC(=N)N=N1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Quinolinamine,210.6,-12447.7163424792,Nc1cccc2ncccc12,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-ethyl-2-methyl-pyridine,34.9,-9967.5369930139,CCc1ccc(C)nc1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-methyl-1H-Tetrazole,280.7,-8100.9851893299,CC1=NNN=N1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-methyl-2H-Tetrazole,328.4,-8100.7505393739,CN1N=CN=N1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-methyl-3-isoxazolamine,20.0,-9274.887218318,CC1=CC(N)=NO1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-Quinolinamine,206.1,-12447.7561220966,Nc1ccc2ncccc2c1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Quinolinamine,187.6,-12447.8799465823,Nc1cccc2cccnc12,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetaldoxime,-22.55,-5692.5645571437,CC=NO,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetonitrile,74.04,-3613.5911994419,CC#N,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alanine,-414.7,-8812.6125829056,CC(N)C(O)=O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aniline,87.03,-7828.2546371147,Nc1ccccc1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbituric_acid,-509.7,-13342.1253808876,O=C1CC(=O)NC(=O)N1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benzonitrile,219.0,-8833.2112492885,N#Cc1ccccc1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benzylamine,87.8,-8897.6531517919,NCc1ccccc1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butanamide,-279.17,-7833.6411260421,CCCC(O)=N,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butanedinitrile,209.7,-7194.9949284854,N#CCCC#N,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butylmethyldiazene,78.9,-8360.3458764679,CCCC\N=N\C,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyclobutylamine,41.0,-5784.4222679317,NC1CCC1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyclopentanamine,-54.86,-6854.783220221,NC1CCCC1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyclopropanecarbonitrile,182.7,-5719.8235569289,N#CC1CC1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyclopropylamine,77.07,-4714.635703154,NC1CC1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diethanolamine,-397.1,-9913.1683626152,OCCNCCO,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diethylcyanamide,63.5,-8328.8377481699,CCN(CC)C#N,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diethylhydroxylamine,-121.77,-7863.8398490405,CCN(O)CC,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diisopropylamine,-136.3,-7956.6342562676,CC(C)NC(C)C,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dinitromethane,-58.9,-12237.947007342,[O-][N+](=O)C[N+]([O-])=O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethanediamide,-387.1,-9216.8861714277,OC(=N)C(O)=N,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethyl-nitrite,-108,-7739.6195284586,CCON=O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethyl_isocyanide,132.6,-4682.3203919527,CC[N+]#[C-],NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fumaronitrile,340.0,-7162.126701962,N#C\C=C\C#N,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glycine,-390.5,-7725.2529997902,NCC([O-])=O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hexahydro-1-3-5-trinitroso-1-3-5-triazine,395.0,-18291.2962931151,O=NN1CN(CN(C1)N=O)N=O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imidodicarbonic_diamide,-437.0,-10725.4540223255,NC(=O)NC(N)=O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isobutyl_nitrite,-151.0,-9879.0691039327,CC(C)CON=O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isoquinoline,204.61,-10940.6676948678,c1ccc2cnccc2c1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isoxazole,78.58,-6697.8288904619,o1cccn1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methacrylamide,-157.7,-7801.3983342962,CC(=C)C(N)=O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methoxyacetonitrile,-35.65,-6730.5334084166,COCC#N,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-Nitrobis-(2_2_2-trinitroethyl)amine,89.6,-44793.2967986404,O=N(=O)N(CC(N(=O)=O)(N(=O)=O)N(=O)=O)CC(N(=O)=O)(N(=O)=O)N(=O)=O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-Nitrosobis-(2_2_2-trinitroethyl)amine,147.0,-42745.9975638847,O=NN(CC(N(=O)=O)(N(=O)=O)N(=O)=O)CC(N(=O)=O)(N(=O)=O)N(=O)=O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitroglycerin,-279.1,-26087.0955787738,[O-][N+](=O)OCC(CO[N+]([O-])=O)O[N+]([O-])=O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oxazole,-15.5,-6698.8619877928,o1ccnc1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phthalazine,329.9,-11376.8702811619,c1ccc2cnncc2c1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piperidine,-47.15,-6854.7462292262,C1CCNCC1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propanamide,-258.94,-6764.5128068838,CCC(N)=O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propanediamide,-416.4,-10288.0937915481,NC(=O)CC(N)=O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propanedinitrile,266.3,-6125.0803484401,N#CCC#N,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propanenitrile,51.46,-4683.2329445175,CCC#N,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propiolonitrile,354,-4616.7871948266,C#CC#N,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propyl_nitrite,-119.0,-8809.2934610909,CCCON=O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propylamine,-69.9,-4747.6519525967,CCCN,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyrazine,196.1,-7195.1349532155,c1cnccn1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyridazine,278.4,-7194.3353193677,c1ccnnc1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyrrole,108.3,-5720.6563862663,[nH]1cccc1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyrrolidine,-3.6,-5784.8046881423,C1CCNC1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinazoline,243.1,-11377.8187924072,c1ccc2ncncc2c1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinoline,200.52,-10940.713121295,c1ccc2ncccc2c1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinoxaline,240.3,-11377.6720560213,c1ccc2nccnc2c1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDX,192.0,-24432.6189877933,[O-][N+](=O)N1CN(CN(C1)[N+]([O-])=O)[N+]([O-])=O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Succinimide,-375.5,-9818.500804425,O=C1CCC(=O)N1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetracyanoethylene,705.0,-12185.1397088485,N#CC(C#N)=C(C#N)C#N,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acetamide,-238.33,-8812.6484424321,CC(N)C(O)=O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acetonitrile,114.39,-7258.9761287876,CN(C)CC#N,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azidocyclohexane,154.4,-10872.3997168559,[N-]=[N+]=NC1CCCCC1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benzamide,-100.9,-10914.5121420673,NC(=O)C1=CC=CC=C1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carbamic_acid,-425.3,-7743.0662940325,COC(N)=O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyanoketene,100.0,-6666.0636367677,O=C=CC#N,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyclohexamine,-104.9,-7924.7578857874,NC1CCCCC1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dimethyl-furazan,107.0,-9274.0077970016,Cc1nonc1C,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dimethylamine,-19.0,-3677.6371162327,CNC,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dimethylamino_methanol,-203.3,-6795.3294150093,CN(C)CO,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ethanedinitrile,305.0,-5055.1472927484,N#CC#N,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ethanimine,24.0,-3645.4970765164,N=CC,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ethyl_nitrate,-155.0,-9786.7720794733,CCO[N+]([O-])=O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ethyl_urea,-257.5,-8271.5617273184,CCNC(N)=O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ethylamine,-57.7,-3677.9876193469,CCN,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ethylenediamine,-17.0,-5184.66713702,NCCN,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hexanitroethane,179.0,-35578.4052607097,[O-][N+](=O)C([N+]([O-])=O)([N+]([O-])=O)C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iso-Propyl_nitrite,-133.0,-8809.4099820184,CC(C)ON=O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isobutylamine,-98.62,-5817.3832381521,CC(C)CN,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m-Aminotoluene,61.1,-8898.03417952,Cc1cccc(N)c1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m-Nitroaniline,62.5,-13396.7734849949,Nc1cccc(c1)[N+]([O-])=O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
methyl-urea,-235.68,-7201.8281596679,CNC(N)=O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
methyl_isocyanide,163.5,-3612.5635775065,C[N+]#[C-],NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n-Butyl_nitrite,-146.0,-9879.0119632395,CCCCON=O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n-aminocarbonyl-acetamide,-441.7,-10287.8848336034,CC(=O)NC(N)=O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n-ethyl-benzenamine,56.1,-9967.3300917932,CCNc1ccccc1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n-ethyl-ethanamine,-99.8,-5817.1227051911,CCNCC,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n-methy-1-butanamine,-108.3,-6886.6645240778,CCCCNC,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n-methylacetamide,-248.0,-6764.2773257714,CNC(C)=O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n-methylaniline,83.9,-8897.6048182883,CNc1ccccc1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n-methylglycine,-367.2,-8812.278601786,CNCC(O)=O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n-methylmethanimine,44.0,-3645.1023785251,CN=C,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n_n-dimethyl-4-benzamine,67.3,-15535.5658996221,CN(C)c1ccc(cc1)[N+]([O-])=O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n_n-dimethyl-urea,-221.6,-8271.2242192702,CNC(=O)NC,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n_n-dimethylbenzeneamine,100.5,-9966.9544714073,CN(C)c1ccccc1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nitromethane,-81.1,-6669.9948635305,C[N+]([O-])=O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nitromethylbenzene,30.7,-12959.3775668611,[O-][N+](=O)Cc1ccccc1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o-Aminotoluene,53.2,-8898.034586356,Cc1ccccc1N,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oxamic_acid,-552.3,-9759.4496193589,NC(=O)C(O)=O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p-Aminotoluene,41.8,-8898.01122642,Cc1ccc(N)cc1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p-Nitroaniline,55.2,-13396.8312955778,Nc1ccc(cc1)[N+]([O-])=O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phenyl_hydrazine,202.9,-9333.9932406443,NNc1ccccc1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrazine_1_4_dioxide,186.5,-11288.0435902043,[O-][n+]1cc[n+]([O-])cc1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sec-Butylamine,-106.2,-5817.4100890495,CCC(C)N,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-Butyl_nitrite,-172.0,-9879.2716947677,CC(C)(C)ON=O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trimethylpyrazine,74.3,-10404.7849201227,Cc1cnc(C)c(C)n1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uracil,-303.1,-11293.2761023878,O=C1NC=CC(=O)N1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urethane,-446.3,-8812.8520893188,CCOC(N)=O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imidazole,131.5,-6157.9954085108,c1cnc[nH]1,https://doi.org/10.1016/j.tca.2020.178756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nitrosyl_hydride,106.99,-3552.3405951813,N=O,https://doi.org/10.1021/ja00004a014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nbutylnitrite,-177.0667,-9878.8898522609,CCCCON=O,https://doi.org/10.1021/jp0536192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
